Teams,Game,Season,Win,S,A,TO,2Pt_Sh,SOG,POSS,TCH,PAS,CT,GB,FO_%,Sv
Atlas,7,2023,0,13,11,21,7,24,1455,290,233,3,37,51.7,16
Chaos,8,2023,0,10,6,20,7,26,1436,273,201,6,38,65.2,8
Whipsnakes,8,2023,1,12,2,17,7,21,1279,235,182,7,24,30.4,17
Chrome,8,2023,0,5,2,17,6,19,1420,297,244,3,30,60,11
Archers,8,2023,1,13,9,18,4,27,1285,269,210,8,32,40,12
Atlas,8,2023,0,11,6,22,7,31,1539,278,205,6,47,75.9,11
Waterdogs,8,2023,1,14,6,19,3,26,1140,223,160,8,30,24.1,15
Cannons,8,2023,0,15,9,19,9,26,1332,312,246,14,29,9.4,19
Redwoods,8,2023,1,16,6,28,7,34,1764,345,260,7,64,90.6,13
Chaos,9,2023,0,8,4,21,5,26,1493,254,192,4,38,85,17
Waterdogs,9,2023,1,13,7,12,6,27,1207,302,250,11,35,15,17
Chrome,9,2023,0,10,5,20,6,19,1254,259,205,10,22,22.7,12
Redwoods,9,2023,1,11,3,23,7,22,1492,303,240,8,41,77.3,9
Atlas,9,2023,0,13,7,27,1,23,1361,231,169,7,55,96.4,13
Cannons,9,2023,1,14,7,15,7,26,1394,279,217,16,31,3.6,10
Archers,9,2023,1,16,6,20,8,29,1433,277,210,11,41,48.1,11
Whipsnakes,9,2023,0,11,3,17,10,24,1264,232,171,6,28,48.1,13
Chaos,10,2023,1,13,11,24,7,28,1377,282,0,8,42,66.7,13
Chrome,10,2023,0,7,2,21,7,20,1315,245,0,9,33,33.3,13
Cannons,10,2023,1,15,5,13,3,27,1178,256,207,12,26,0,14
Whipsnakes,10,2023,0,11,6,23,9,25,1578,273,206,4,44,100,12
Atlas,10,2023,0,7,5,22,3,16,1157,247,198,4,27,54.5,15
Redwoods,10,2023,1,12,7,21,5,27,1551,306,245,7,28,45.5,7
Archers,10,2023,0,13,6,21,13,35,1458,289,212,9,50,79.3,20
Waterdogs,10,2023,1,14,7,16,5,34,1224,262,202,3,30,17.2,18
Whipsnakes,1,2022,1,9,2,10,2,23,1519,218,159,6,23,60,8
Chaos,1,2022,0,8,4,16,3,16,1174,240,203,3,23,40,13
Redwoods,1,2022,0,11,6,19,5,21,1240,200,144,8,32,43.3,5
Atlas,1,2022,1,17,13,17,3,24,1350,239,189,8,28,56.7,11
Waterdogs,1,2022,0,10,4,14,4,31,1459,224,168,7,35,46.7,10
Cannons,1,2022,1,16,8,17,2,29,1149,232,176,5,31,53.3,19
